"id","user_id","client_id","title","status","allow_comments","body","extended_body","excerpt","keywords","category","created_at","updated_at","company_id","go_live_date","original_id","author_name","comments_count"
"40680","","1","Test Entry","Publish","true","This is a test entry to see if Movable Type is working.","","","","","2005-11-03","2013-03-29","","","","Anna","0"
"40681","","1","New Hosts","Publish","true","Somebody keeps forgetting to backup the blog entries.  I won't name names (because mine would be at the top of the list), but whoever keeps forgetting to make backups is responsible for our past posts going missing.  Everybody likes a fresh start, right?

We finally switched hosting companies, following recurring downtimes due to the  lackadaisical approach our old guys seemed to take regarding problem-fixin'.  The site should be back on its feet now -- possibly improved (did you notice the tweaked design?), but a few blog entries short of its former glory.  

At any rate, these are the successes I'm currently focusing on:
<ul>
<li><p>A.A. Milne's <a href=""http://www.snowbooks.com/milne.html"">The Sunny Side</a> is featured and on promotion at Borders, Books Etc, and Waterstone's.  It might be the famous name that's pushing it along, but I like to think it's the illustration on the front cover.  Whoever did that deserves a bonus.</p></li>

<li><p>I've finished proof reading <a href=""http://www.snowbooks.com/plotting.html"">Plotting for Beginners</a>.  I would say 'editing,' but when a manuscript's so clever that all you can change are the commas, it seems a bit cheaty to consider it anything more than proofing.  Hooray for books that are being published by Snowbooks.</p></li>

<li><p>On a semi-personal-life note, I won an Adana Letter Press on eBay, along with a huge lot of accessories.  I'd love to give our proofs (which are printed and bound here in our office, by our very hands) custom printed covers on coloured card.  It seems novel and a bit 'let's hear it for antiquated technology!' at the moment, but I'm sure to go overboard and fill the office with letterpressed goods.  I need to find an old tray of wingbats with a snowflake.  Then we'll be made.</p></li>
</ul>","","","","","2005-11-04","2013-03-29","","","","Anna","0"
"40682","","1","Maple Academy","Publish","true","There has been a flurry of letters this last week from hopeful would-be proofreaders. This happens about four times a year, in correlation, I'm guessing, with the end of a distance-learning proofreading course from one Maple Academy. They appear to have Snowbooks' details on a mailing list, and although I've asked to be removed they still appear to be telling their graduates to ask us for a role. 

One of the things that makes working at Snowbooks enjoyable is that we keep everything in-house, including proofreading. It's a waste of your time and effort to ask us if we need a freelance proofreader. (It's my own personal opinion that signing up for a distance-learning course in proofreading is not the best use of anyone's time or money.)

I'm sorry that we don't have any opportunities available. If you're thinking of going on a proofreading course, I'd strongly suggest talking to some previous graduates to hear their opinion of its usefulness.","","","","","2005-11-07","2013-03-29","","","","Emma","14"
"40683","","1","I'm every woman...","Publish","true","Ooh, I might win a prize. I'm one of three finalists in my age group for the Everywoman prize. If I win, I get an urn, which I will photograph for you to see on this very weblog - so watch this space for exciting updates. 
Go <a href=""http://www.fmwf.com/C2B/PressOffice/display.asp?ID=768&Type=1"">here</a> for an article in the Mail on Sunday.","","","","","2005-11-09","2013-03-29","","","","Emma","0"
"40684","","1","Adept(e)","Publish","true","<img src=http://www.snowbooks.com/adept-french.jpg height=276 width=177 align=left hspace=20 vspace=20 alt=""Adepte"">
We had a big parcel on Monday from <a href=http://www.city-editions.com target=_blank>City Editions</a>, the French publisher of <a href=http://www.snowbooks.com/adept.html target=_blank><i>Adept</i></a>, our best-selling thriller. And what did it contain, but ten beautiful copies of the French edition!

<b>""Un best-seller haletant qui a re&ccedil;u un formidable accueil public et critique en Grande-Bretagne.""</b>

<b>Adept</b> has now been sold to German, France, Serbia & Montenegro, Greece, Romania Italy and Bulgaria, as well as into talking book and large print format in this country, so look forward to seeing a host of other covers appearing here soon.

One of the best bits about foreign editions is undoubtedly finding out what other people need explaining, as in this footnote:

<b>(2)</b> C&eacute;l&egrave;bre s&eacute;rie t&eacute;l&eacute;vis&eacute;e comique diffus&eacute;e &agrave; la fin des ann&eacute;es 1970 par la BBC, se d&eacute;roulant dans un h&ocirc;tel dirig&eacute; par un g&eacute;rant tyrannique et farfelu (John Cleese, des Monty Python).

Can you guess what it is yet?","","","","","2005-11-17","2013-03-29","","","","","0"
"40685","","1","Romanians in the Valley","Publish","true","Two recent pieces of news from Snowbooks towers, with our eyes now firmly fixed on next year's exciting list:

<img src=http://www.snowbooks.com/thevalley/images/cover.jpg alt=""The Valley"" width=165 height=251 align=right hspace=10 vspace=10><a href=http://www.snowbooks.com/valley.html><i>The Valley</i></a> is the second novel from Snowbooks by J.D. Landis, the acclaimed author of the bestselling <a href=http://www.snowbooks.com/longing.html><i>Longing</i></a>. Set in the very real, but now vanished, location of Swift River Valley in Massachusetts, which was flooded to make a reservoir in the 1930s, this stunning gothic novel tells of the events following the young, imaginative Sarianna's arrival in the home of Reverend Jeremy Treat, a man of deep and rich faith trying to hold together a scattering congregation.

<i>The Valley</i> has just gone off to print, and to celebrate the lead up to publication on January 2nd, we've launched a special, dedicated website, where you can read an extract from the book, an interview with the author, and find out more about the extraordinary background to this tale. It's all <a href=http://www.snowbooks.com/thevalley>right here</a>.

Our second piece of news is the release of the cover for Bruce Benderson's memoir <i>The Romanian</i>, due for publication in May. Already published in France to great acclaim, where it became the first book by a non-French author to win the prestigious Prix de Flore, and shortly to be published by Penguin in the US, Snowbooks is proud to be publishing this landmark work by a truly extraordinary writer. Check out the <a href=http://www.snowbooks.com/romanian.html>preview here</a>, and come back soon for more info.","","","","","2005-11-29","2013-03-29","","","","","0"
"40686","","1","High urnings","Publish","true","<a href=""https://s3-eu-west-1.amazonaws.com/bibliocloudimages/snowblog/images/urn.jpg""><img alt=""urn.jpg"" src=""http://www.snowbooks.com/weblog/images/urn-thumb.jpg"" width=""360"" height=""339"" /></a>
I promised you an urn, and an urn you've got. See how sizeable it is - note the festive Snowbooks gingerbread house used in the photo for scale. 

Actually, it's quite a diminutive urn - I only got a runner up prize at the Everywoman Awards yesterday. However, Fiona Bruce (for it was she who presented the awards) read a bit out about Snowbooks and sounded very impressed. A man on the table next to ours (it was at the Savoy over lunch, with 300 important-looking guests) harrumphed in an impressed way too. I made sure that it said in my profile which she read out that we couldn't have done it all without Waterstone's; although they'll never know it, it makes me feel good to thank them publicly.  

The lunch was also an opportunity for people to give to Refuge, the domestic violence charity. 1 in 4 women is the subject of domestic violence, can you believe, and the lunch raised 3000 for their cause, which was excellent. 

The overall winner was Elaine Fairfax from Animal Friends Insurance who was a very worthy winner. Read about her excellent business that gives its profits to animal charities <a href=""http://www.everywoman.co.uk/awards05/winners2005.asp"">here.</a>","","","","","2005-12-01","2013-03-29","","","","Emma","0"
"40687","","1","'A Few Tricks For Christmas'","Publish","true","<img src=http://image.guardian.co.uk/sys-images/Books/Pix/covers/2005/12/14/milne.jpg align=right hspace=10> Still looking for that elusive Christmas present for your mum / dad / brother / sister / aunt / uncle / cat / imaginary friend or relative? Today's <i>Guardian</i> features an exclusive, seasonally-themed extract from A. A. Milne's <i>The Sunny Side</i>, a collection of essays, poetry and other writings which Snowbooks' has single-handedly brought back from undeserved obscurity for your reading and gifting pleasure:

<i>""Now that the ""festive season"" (copyright) is approaching, it behooves us all to prepare ourselves in some way to contribute to the gaiety of the Christmas house-party. A clever conjurer is welcome anywhere, and those of us whose powers of entertainment are limited to the setting of booby-traps or the arranging of apple-pie beds must view with envy the much greater tribute of laughter and applause which is the lot of the prestidigitator with some natural gift for legerdemain.""</i>

Read the full extract on the <a href=http://books.guardian.co.uk/extracts/story/0,,1667391,00.html>Guardian website</a>, and buy the book at <a href=http://www.amazon.co.uk/exec/obidos/ASIN/1905005091/qid=1134574636/sr=2-1/ref=sr_2_9_1/203-7998006-7146324 >Amazon.co.uk</a>, or a <a href=http://www.amazon.co.uk/exec/obidos/tg/stores/static/-/waterstones/store-locator/ref=cs_nav_sn_15/202-2812574-5325422> Waterstones</a> near you.","","","","","2005-12-15","2013-03-29","","","","","0"
"40688","","1","Snow Cookies","Publish","true","From today's Bookseller: 

""A disgruntled publisher called the Organ's offices last week, pleading for a moratorium on articles on rival independent Snowbooks. ""How do they manage to get in the magazine so much?"" he complained. The next day, the answer to Snowbooks' PR success arrived in the office--boxes of festive Snow Cookies for all. Bribery will get you everywhere.""

Ooh, I do hope so. Thank you, The Bookseller, for writing such nice words about us throughout 2005. Back atcha.","","","","","2005-12-16","2013-03-29","","","","Emma","0"
"40689","","1","2006 and all that","Publish","true","<img alt=""top ten start upssmall.jpg"" src=""https://s3-eu-west-1.amazonaws.com/bibliocloudimages/snowblog/images/top%20ten%20start%20upssmall.jpg"" width=""396"" height=""717"" />","","","","","2005-12-16","2013-03-29","","","","Emma","0"
